feelings_life,aboriginal,vis_minority,marital_status,education,self_rated_health,self_rated_mental_health,income_family,income_respondent,number_total_children_intention,is_male,age
9,No,Not a visible minority,"Single, never married",6,4,4,2,2,3,0,24.3
6,No,Not a visible minority,Separated,5,3,3,3,3,0,0,41.4
9,Yes,Not a visible minority,"Single, never married",3,4,4,1,1,0,0,30.6
8,No,Not a visible minority,"Single, never married",6,5,5,1,1,0,0,37
9,No,Not a visible minority,Living common-law,4,4,5,5,2,3,1,31.2
9,No,Not a visible minority,Married,7,3,4,6,4,0,0,45.8
7,No,Not a visible minority,"Single, never married",6,3,3,3,3,2,0,32.3
7,No,Not a visible minority,Married,3,0,3,6,4,0,1,40.4
8,No,Not a visible minority,Married,3,3,4,4,2,2,0,26
8,No,Not a visible minority,Living common-law,2,5,5,6,4,2,1,35.9
9,No,Not a visible minority,Married,6,5,4,3,2,0,0,38.8
5,No,Not a visible minority,"Single, never married",2,3,2,6,1,2,0,19.5
9,No,Not a visible minority,"Single, never married",6,4,5,3,3,1,1,27.8
10,No,Not a visible minority,Married,3,3,5,6,5,2,1,32.9
8,No,Not a visible minority,Living common-law,2,4,4,4,3,0,1,39.3
10,Yes,Not a visible minority,Divorced,2,4,4,6,2,0,0,47.6
8,No,Not a visible minority,"Single, never married",3,3,4,6,1,2,1,22.4
9,No,Not a visible minority,Divorced,2,4,4,2,2,0,0,49.6
8,Yes,Not a visible minority,Married,5,4,4,6,4,0,0,41.9
9,No,Not a visible minority,"Single, never married",1,5,4,3,1,2,1,17.3
10,No,Not a visible minority,Married,2,5,5,6,4,0,0,35.8
10,No,Not a visible minority,"Single, never married",1,1,4,1,1,3,0,26.5
8,No,Not a visible minority,"Single, never married",1,3,1,4,1,1,1,16.8
7,No,Not a visible minority,"Single, never married",6,3,3,1,1,1,1,27.4
10,No,Not a visible minority,"Single, never married",1,5,5,2,1,2,1,16.1
8,No,Not a visible minority,"Single, never married",6,4,4,2,2,0,1,41
8,No,Not a visible minority,Married,6,4,4,2,1,0,1,39.8
10,No,Not a visible minority,Living common-law,6,5,5,6,6,0,1,40.6
9,No,Not a visible minority,Living common-law,3,3,5,4,2,2,1,29.9
8,No,Not a visible minority,Separated,2,4,5,5,5,0,1,44.6
7,No,Not a visible minority,"Single, never married",2,4,3,4,4,2,1,26.4
9,No,Not a visible minority,Married,3,5,5,4,3,0,1,31.8
6,No,Not a visible minority,Living common-law,4,1,1,2,2,2,0,26.3
10,No,Visible minority,Married,7,4,4,6,6,0,1,34.3
8,No,Not a visible minority,Married,4,4,3,6,5,0,1,39.5
7,No,Not a visible minority,"Single, never married",3,3,3,2,2,0,1,39.4
5,No,Not a visible minority,"Single, never married",7,4,4,3,3,0,0,43
7,No,Not a visible minority,"Single, never married",2,3,4,2,1,2,0,20.9
10,No,Not a visible minority,Married,6,5,3,6,3,0,0,48.1
8,No,Not a visible minority,Married,3,4,3,6,4,0,1,40.9
8,No,Not a visible minority,Married,3,4,4,3,1,0,1,44.3
8,No,Not a visible minority,Married,2,4,4,1,1,1,1,46.3
8,No,Not a visible minority,Married,6,5,4,5,2,0,1,37.4
9,No,Not a visible minority,Living common-law,6,4,5,3,3,0,0,48.1
7,No,Not a visible minority,Married,2,3,3,3,2,0,0,40.2
10,No,Not a visible minority,Married,3,5,3,6,3,2,0,32.3
8,No,Not a visible minority,"Single, never married",3,4,4,1,1,3,1,21.4
8,No,Not a visible minority,Married,2,4,5,4,2,0,1,51.4
7,No,Not a visible minority,"Single, never married",3,4,3,1,1,0,0,27.5
8,No,Not a visible minority,"Single, never married",1,5,5,2,1,2,1,24.5
7,No,Not a visible minority,Married,6,4,4,1,1,0,0,40
10,No,Not a visible minority,Living common-law,3,5,5,6,3,0,0,38.9
8,Yes,Not a visible minority,"Single, never married",4,5,3,2,2,0,0,30.3
6,No,Not a visible minority,"Single, never married",2,5,3,5,1,2,0,19.9
10,No,Not a visible minority,"Single, never married",1,5,3,2,1,0,0,28.7
7,No,Not a visible minority,Married,6,5,4,6,6,0,0,46.8
8,No,Not a visible minority,Married,3,5,5,6,5,0,1,36.6
8,No,Not a visible minority,Living common-law,2,4,4,6,3,2,1,22.1
9,No,Not a visible minority,Married,7,4,4,6,6,0,1,47.8
10,No,Not a visible minority,Living common-law,2,3,5,3,2,0,1,56.3
7,No,Not a visible minority,"Single, never married",2,3,3,3,2,0,0,37.8
10,No,Not a visible minority,"Single, never married",2,5,5,4,2,0,1,51.1
8,No,Not a visible minority,Living common-law,5,5,4,5,1,2,0,28.3
8,No,Not a visible minority,Living common-law,3,4,4,6,4,2,0,31.8
5,No,Not a visible minority,Married,3,5,4,6,2,0,0,46.7
10,No,Not a visible minority,Married,3,4,3,6,5,0,1,36.3
10,No,Not a visible minority,"Single, never married",2,3,5,5,1,2,1,19.2
9,No,Not a visible minority,Living common-law,1,3,3,3,2,0,0,48.6
8,No,Not a visible minority,Married,3,4,3,5,3,0,0,36.4
10,No,Not a visible minority,Living common-law,4,5,5,6,6,2,1,28
8,No,Not a visible minority,"Single, never married",7,4,4,6,6,0,1,40.9
8,No,Not a visible minority,"Single, never married",2,5,4,2,2,2,1,28.6
8,No,Not a visible minority,Married,3,4,4,3,1,0,0,35.7
8,No,Not a visible minority,"Single, never married",2,4,3,2,2,1,1,19.9
8,No,Not a visible minority,Married,6,5,4,2,2,0,1,57.8
9,Yes,Not a visible minority,"Single, never married",2,4,5,5,1,3,1,18.5
10,No,Not a visible minority,Married,3,5,4,6,2,0,0,42.7
8,No,Not a visible minority,Married,6,3,3,6,2,0,0,37.3
9,No,Not a visible minority,"Single, never married",6,5,3,5,1,3,0,24.1
8,No,Not a visible minority,Married,7,5,5,6,4,0,1,43.1
8,No,Not a visible minority,Living common-law,6,5,4,6,3,0,1,35.8
6,No,Not a visible minority,"Single, never married",2,5,1,1,1,1,1,22.8
7,No,Not a visible minority,Married,2,3,3,4,1,0,0,40.8
9,No,Not a visible minority,"Single, never married",4,3,4,2,2,2,1,30.7
8,No,Not a visible minority,Living common-law,4,3,3,4,2,0,1,36.9
1,No,Not a visible minority,Separated,6,3,2,2,2,0,0,46.5
8,No,Not a visible minority,"Single, never married",1,4,4,2,1,2,0,15.9
10,No,Not a visible minority,Married,6,4,4,6,1,0,0,37.3
8,No,Not a visible minority,Living common-law,2,4,3,3,2,0,1,39.7
7,No,Not a visible minority,Separated,3,5,5,2,2,0,0,48.2
8,No,Not a visible minority,Living common-law,2,5,4,6,1,3,1,22.8
8,No,Not a visible minority,Divorced,2,5,5,2,2,0,1,54.1
4,No,Not a visible minority,"Single, never married",2,1,1,6,1,3,0,19.5
10,No,Not a visible minority,"Single, never married",7,5,5,3,3,2,0,32.3
8,No,Not a visible minority,"Single, never married",2,4,5,6,1,2,0,21.3
7,No,Not a visible minority,Separated,6,1,1,4,4,0,0,37
7,No,Not a visible minority,Married,3,5,4,6,4,0,0,37.8
8,No,Not a visible minority,"Single, never married",3,4,4,4,2,2,1,30.3
9,No,Not a visible minority,Married,6,5,5,5,4,0,0,34.7
8,No,Not a visible minority,Married,4,3,3,6,6,0,1,49.8
8,No,Not a visible minority,Married,6,4,4,6,3,0,0,40.4
7,No,Not a visible minority,"Single, never married",1,4,1,6,1,1,0,17.3
8,No,Not a visible minority,Married,2,3,5,5,3,0,1,50
8,No,Not a visible minority,"Single, never married",3,3,3,2,2,0,1,36.6
10,No,Not a visible minority,"Single, never married",1,3,5,3,1,2,1,16.4
6,No,Not a visible minority,"Single, never married",6,3,3,2,2,2,1,44.5
9,No,Not a visible minority,Living common-law,5,5,5,6,6,0,0,48.4
8,No,Not a visible minority,"Single, never married",2,5,5,4,4,2,1,35.3
8,No,Not a visible minority,Married,2,1,3,5,4,0,0,49.4
8,No,Not a visible minority,Married,2,3,3,4,2,0,1,45.3
3,No,Not a visible minority,"Single, never married",3,2,2,2,2,3,1,29.9
10,No,Not a visible minority,Married,1,4,3,5,2,0,1,52.5
10,No,Not a visible minority,Married,3,5,4,6,3,3,0,30.7
8,No,Not a visible minority,Living common-law,4,2,3,1,1,0,1,42.7
7,No,Not a visible minority,Living common-law,4,4,3,4,4,0,1,39.8
8,No,Not a visible minority,"Single, never married",7,4,4,1,1,0,0,39.5
8,No,Not a visible minority,Married,4,4,4,3,2,3,0,32.3
2,No,Not a visible minority,Married,3,2,1,3,1,0,0,43.7
10,No,Not a visible minority,"Single, never married",6,5,5,1,1,0,0,33.3
7,Yes,Not a visible minority,"Single, never married",2,4,4,1,1,0,0,24.9
9,No,Not a visible minority,Married,7,1,5,3,2,2,0,31.3
7,No,Not a visible minority,"Single, never married",2,3,3,1,1,3,0,24.5
8,No,Not a visible minority,Married,1,1,3,4,1,0,0,30.7
10,No,Not a visible minority,Married,2,4,4,2,2,0,1,50.3
8,No,Not a visible minority,Married,7,5,1,4,1,0,0,29.4
10,No,Not a visible minority,Widowed,3,4,4,2,2,0,0,41.7
10,No,Visible minority,"Single, never married",1,3,5,6,1,2,0,15.3
8,No,Not a visible minority,Married,2,3,3,3,1,0,0,43.1
10,No,Not a visible minority,Widowed,3,4,4,1,1,0,0,46.8
9,No,Not a visible minority,Married,6,4,4,6,3,0,1,38.3
8,No,Not a visible minority,"Single, never married",2,5,5,5,1,0,1,20.4
5,No,Visible minority,"Single, never married",1,0,3,2,2,0,1,27.5
10,No,Not a visible minority,Living common-law,6,4,4,6,6,2,1,30.9
8,No,Visible minority,Married,6,5,5,4,3,1,1,31
8,No,Not a visible minority,Married,6,3,3,5,3,2,0,32.6
9,No,Not a visible minority,Married,2,4,3,6,5,0,1,59.8
9,No,Not a visible minority,Married,7,4,3,4,2,0,0,42.5
8,No,Not a visible minority,"Single, never married",2,5,5,3,1,4,0,23.2
8,No,Not a visible minority,Married,3,3,3,6,3,0,0,45.5
8,No,Not a visible minority,"Single, never married",2,3,3,6,1,0,0,31.5
8,No,Not a visible minority,"Single, never married",3,4,3,6,1,3,0,22.5
9,No,Not a visible minority,Married,3,5,5,6,2,0,0,39.7
10,No,Not a visible minority,"Single, never married",2,5,5,2,1,2,1,18.6
8,No,Not a visible minority,"Single, never married",3,5,4,3,3,4,0,26.6
8,No,Not a visible minority,Married,5,4,4,6,3,2,1,29.7
7,Yes,Not a visible minority,"Single, never married",1,5,1,3,1,2,1,22.3
10,No,Not a visible minority,Living common-law,4,5,5,5,2,3,0,27.3
8,No,Not a visible minority,"Single, never married",4,4,5,3,3,0,1,45.9
9,No,Not a visible minority,Married,6,3,3,6,6,0,1,55.3
9,No,Not a visible minority,Living common-law,6,5,4,3,1,3,0,25.7
9,No,Not a visible minority,"Single, never married",2,4,3,3,1,2,1,22.2
8,No,Not a visible minority,"Single, never married",2,4,5,2,2,1,1,49.7
7,No,Not a visible minority,"Single, never married",3,4,4,4,4,2,1,36.5
9,Don't know,Not a visible minority,"Single, never married",1,3,4,6,1,1,1,17.7
7,No,Not a visible minority,Separated,3,3,4,1,1,0,0,41
8,No,Not a visible minority,"Single, never married",3,4,4,4,1,2,0,23.1
7,No,Not a visible minority,Living common-law,3,1,3,4,2,0,0,43
7,No,Not a visible minority,"Single, never married",1,5,5,6,1,3,1,19.4
8,No,Not a visible minority,"Single, never married",7,5,3,4,4,0,0,33.8
8,No,Not a visible minority,Married,2,4,4,6,3,0,1,53.3
7,Yes,Not a visible minority,Divorced,2,4,4,2,2,0,1,48.7
9,No,Visible minority,Living common-law,5,2,3,5,3,1,1,27.8
8,Yes,Not a visible minority,Married,6,1,4,4,3,0,0,42.3
8,No,Not a visible minority,"Single, never married",3,4,4,5,5,0,1,47.4
5,Yes,Not a visible minority,Divorced,1,1,1,3,3,0,1,53.2
8,Yes,Not a visible minority,"Single, never married",2,4,3,2,2,0,0,40.9
8,No,Not a visible minority,"Single, never married",2,3,5,5,1,2,1,20.8
8,No,Not a visible minority,Married,7,4,3,6,3,2,0,30.6
8,No,Not a visible minority,"Single, never married",2,4,4,1,1,2,1,28.6
8,No,Not a visible minority,Married,3,5,5,4,2,0,0,39.1
7,No,Not a visible minority,Married,6,3,3,4,2,3,0,32.7
4,No,Not a visible minority,Living common-law,7,4,1,6,5,0,1,39.1
9,No,Not a visible minority,Married,5,5,5,6,2,0,0,48.8
7,No,Not a visible minority,Married,3,3,4,6,4,0,0,47.9
8,No,Not a visible minority,Married,3,4,3,6,3,0,0,49.8
8,No,Not a visible minority,"Single, never married",3,5,5,2,2,0,1,33.8
9,No,Visible minority,Married,3,4,5,4,2,0,0,31.4
10,No,Not a visible minority,Married,2,5,5,5,1,0,0,48.3
8,No,Not a visible minority,Living common-law,4,4,4,6,5,2,1,31.8
9,No,Not a visible minority,Married,2,4,4,6,3,0,1,48.8
9,No,Not a visible minority,Living common-law,3,4,4,3,1,2,0,37.1
5,No,Not a visible minority,Living common-law,6,3,3,6,3,0,0,33.6
7,No,Not a visible minority,Living common-law,6,5,4,6,6,0,1,41.3
10,No,Not a visible minority,"Single, never married",6,3,4,1,1,0,0,38.2
9,No,Not a visible minority,Living common-law,7,5,3,6,3,0,0,41.2
8,No,Not a visible minority,Living common-law,6,4,4,6,4,0,0,47.4
10,No,Not a visible minority,"Single, never married",1,5,5,6,1,2,1,16.3
7,No,Not a visible minority,"Single, never married",7,4,5,3,3,2,0,36.3
9,No,Visible minority,"Single, never married",6,4,5,5,2,0,1,26.6
8,No,Don't know,"Single, never married",6,3,3,5,5,0,0,43.3
10,No,Not a visible minority,Living common-law,2,3,3,4,3,0,1,47.3
5,No,Not a visible minority,"Single, never married",1,5,3,5,1,2,0,16.4
8,No,Not a visible minority,"Single, never married",6,3,3,4,4,0,0,47.8
10,No,Not a visible minority,"Single, never married",2,4,5,6,1,1,1,19.4
10,No,Not a visible minority,"Single, never married",5,4,4,1,1,0,0,37.9
10,No,Not a visible minority,Living common-law,6,5,5,5,4,0,0,49.6
6,No,Not a visible minority,"Single, never married",2,4,1,6,1,0,0,20.8
8,No,Not a visible minority,Divorced,3,4,4,4,4,0,0,46.8
9,No,Not a visible minority,"Single, never married",3,5,4,2,1,2,0,22.2
8,No,Not a visible minority,"Single, never married",1,5,4,3,1,3,1,16.3
7,No,Not a visible minority,Married,6,1,3,2,1,4,0,26.4
8,No,Not a visible minority,Married,3,4,4,6,3,0,0,43.4
8,No,Not a visible minority,Living common-law,4,3,4,3,1,0,1,48
10,No,Not a visible minority,Married,2,4,4,6,6,0,1,54.2
10,No,Not a visible minority,Married,7,5,4,4,2,2,0,32.3
9,No,Not a visible minority,Separated,2,5,4,2,2,0,0,32.5
8,No,Not a visible minority,Married,3,1,1,4,2,0,1,52.3
8,No,Not a visible minority,"Single, never married",6,3,3,5,5,0,0,47.8
9,No,Not a visible minority,Living common-law,3,4,4,6,2,2,0,23.9
7,No,Not a visible minority,"Single, never married",6,4,4,1,1,2,1,24.1
10,No,Not a visible minority,Living common-law,4,5,5,4,3,2,1,26.5
8,No,Not a visible minority,"Single, never married",2,3,1,4,1,2,0,19.9
7,No,Not a visible minority,"Single, never married",1,3,3,1,1,2,0,19.5
7,No,Not a visible minority,Married,2,4,4,3,2,0,1,38.3
9,No,Not a visible minority,Married,2,4,5,5,2,1,1,30.6
10,No,Visible minority,"Single, never married",5,5,5,6,1,2,1,27.3
9,No,Not a visible minority,Married,3,4,5,6,4,0,1,35.1
7,No,Not a visible minority,"Single, never married",2,4,4,3,3,2,0,27.3
10,No,Not a visible minority,Living common-law,6,5,5,6,5,0,0,44.3
6,No,Not a visible minority,Widowed,3,3,3,2,2,0,0,47.5
9,No,Not a visible minority,"Single, never married",3,3,5,4,2,2,0,43.8
5,No,Not a visible minority,Married,7,4,4,5,4,0,1,44.8
9,No,Not a visible minority,Living common-law,1,3,3,2,1,0,1,32.1
8,No,Not a visible minority,Married,3,3,3,6,2,1,0,29.2
10,No,Not a visible minority,Widowed,6,5,5,4,4,0,0,44.8
9,No,Not a visible minority,Divorced,2,2,3,2,2,0,0,33.5
10,No,Not a visible minority,Living common-law,6,5,5,2,2,3,1,25
7,No,Not a visible minority,"Single, never married",4,3,3,3,3,0,1,33.6
9,No,Not a visible minority,"Single, never married",3,5,5,1,1,2,0,21.9
8,No,Not a visible minority,"Single, never married",2,4,4,6,1,2,0,19.8
5,No,Not a visible minority,"Single, never married",2,3,3,2,2,0,0,40
10,No,Not a visible minority,Married,7,5,5,6,3,0,0,33.3
6,No,Not a visible minority,"Single, never married",1,1,3,2,1,2,1,22.3
8,No,Not a visible minority,"Single, never married",2,4,4,6,1,2,1,17.6
8,No,Visible minority,Married,2,3,3,4,1,2,1,32.9
7,No,Not a visible minority,Living common-law,7,3,3,4,3,0,0,34.4
9,No,Not a visible minority,Married,7,5,5,6,6,0,0,39.1
7,Yes,Not a visible minority,"Single, never married",3,3,1,2,2,4,0,24.3
5,No,Not a visible minority,Married,6,5,3,6,2,0,0,49.9
6,No,Not a visible minority,Separated,3,4,3,3,3,0,0,29
10,No,Not a visible minority,Divorced,6,4,5,4,4,0,0,41.5
7,No,Not a visible minority,"Single, never married",1,3,3,1,1,0,0,19.4
6,Yes,Not a visible minority,"Single, never married",2,4,2,2,2,0,0,44.9
8,No,Not a visible minority,Married,6,4,5,4,3,0,1,35.8
10,No,Not a visible minority,Married,2,4,5,4,2,0,1,35.7
9,No,Not a visible minority,Living common-law,6,4,5,5,3,0,0,43.8
9,No,Not a visible minority,Married,2,4,4,3,1,0,0,44.9
8,No,Not a visible minority,"Single, never married",7,4,4,3,3,2,0,31
8,No,Not a visible minority,Married,3,3,3,4,1,0,0,46.7
6,No,Not a visible minority,Divorced,6,3,2,1,1,0,1,49.3
10,No,Not a visible minority,Married,3,3,4,5,3,2,1,31.1
8,No,Not a visible minority,Living common-law,3,4,5,6,4,1,1,32.1
5,No,Not a visible minority,Living common-law,4,5,5,4,2,0,0,33.2
5,Yes,Not a visible minority,Married,6,2,3,6,3,0,0,47.3
7,No,Not a visible minority,"Single, never married",2,2,4,1,1,3,0,21.3
7,No,Not a visible minority,"Single, never married",6,4,3,3,3,0,0,27.5
10,No,Not a visible minority,Married,4,3,4,3,3,0,1,25.3
7,No,Visible minority,"Single, never married",1,4,3,3,1,3,0,16
8,No,Not a visible minority,Living common-law,3,4,4,6,3,0,1,36
8,No,Not a visible minority,Married,7,4,4,6,5,2,0,47.8
8,No,Not a visible minority,"Single, never married",2,4,5,2,2,0,1,47.3
8,No,Not a visible minority,Living common-law,4,4,4,5,3,2,1,27.1
8,No,Not a visible minority,"Single, never married",2,4,1,1,1,3,0,19.7
9,No,Not a visible minority,Living common-law,6,4,4,6,3,0,0,36.3
10,No,Visible minority,"Single, never married",5,5,5,3,2,2,0,29.9
5,No,Not a visible minority,Married,3,4,3,4,3,0,1,46.3
9,No,Not a visible minority,Married,5,5,3,5,1,2,0,30.1
9,No,Not a visible minority,"Single, never married",2,3,4,3,3,2,0,30.1
7,No,Not a visible minority,Married,6,4,4,3,2,0,1,29.8
8,No,Not a visible minority,"Single, never married",3,1,2,3,1,2,0,24.7
8,No,Not a visible minority,Living common-law,3,5,4,6,3,0,0,42.3
7,No,Not a visible minority,Married,7,3,3,6,4,0,1,43.5
10,No,Not a visible minority,Married,3,3,5,3,1,0,0,44.2
8,No,Not a visible minority,"Single, never married",3,4,4,2,2,0,0,37.4
8,No,Not a visible minority,Married,3,4,3,3,2,0,1,47.8
8,No,Not a visible minority,Separated,2,4,4,4,4,0,0,33.9
7,No,Not a visible minority,"Single, never married",4,4,3,6,1,2,1,22.6
8,No,Not a visible minority,Living common-law,2,3,3,2,1,0,1,41.4
7,No,Not a visible minority,Living common-law,2,3,4,5,1,3,1,25.2
3,No,Not a visible minority,"Single, never married",3,4,1,2,2,0,1,30.7
7,No,Not a visible minority,"Single, never married",1,3,3,2,2,4,0,31.3
7,No,Not a visible minority,Married,3,4,4,6,1,0,0,42.6
10,No,Not a visible minority,Married,2,5,5,2,1,0,0,47.4
10,No,Visible minority,"Single, never married",2,5,5,6,1,2,0,18.6
7,Yes,Not a visible minority,"Single, never married",1,4,1,4,1,0,0,16.3
9,No,Not a visible minority,"Single, never married",3,4,5,4,1,1,0,19.3
8,No,Not a visible minority,Married,5,5,5,6,4,2,0,30.2
8,No,Not a visible minority,Married,6,4,4,4,2,0,0,37
9,No,Not a visible minority,Married,6,4,4,6,4,0,0,39.4
8,Yes,Not a visible minority,Living common-law,2,1,1,4,2,0,0,28.5
9,No,Not a visible minority,Married,6,5,4,6,5,2,1,31.8
8,No,Not a visible minority,Living common-law,3,3,3,6,3,0,0,42.5
10,No,Not a visible minority,Married,3,4,4,6,3,0,0,48.5
7,No,Not a visible minority,Divorced,3,4,3,3,3,0,0,44.4
9,No,Not a visible minority,Living common-law,3,3,5,4,2,0,1,43.3
7,No,Not a visible minority,Divorced,3,3,3,2,2,0,0,44.9
8,No,Not a visible minority,"Single, never married",2,4,5,1,1,2,1,20.2
7,No,Not a visible minority,Married,3,4,4,5,2,0,1,40.3
10,No,Not a visible minority,Married,6,5,5,6,4,0,0,42.4
8,No,Not a visible minority,"Single, never married",2,5,5,1,1,3,1,23.9
8,No,Not a visible minority,Married,7,4,3,6,2,2,0,34.6
8,No,Not a visible minority,"Single, never married",2,5,5,1,1,2,0,34.2
8,No,Not a visible minority,Married,7,3,4,6,6,0,0,39.5
3,No,Not a visible minority,Separated,2,3,1,4,4,2,1,35.5
8,No,Not a visible minority,Living common-law,6,5,4,6,2,2,0,30.3
5,No,Not a visible minority,"Single, never married",2,4,4,1,1,0,0,35.5
9,No,Not a visible minority,Married,6,4,4,6,3,0,0,34.7
9,No,Not a visible minority,"Single, never married",1,4,4,3,1,2,0,15.8
10,No,Not a visible minority,Married,7,5,5,6,1,0,0,34.2
4,No,Not a visible minority,"Single, never married",3,1,1,4,4,2,1,33.3
10,No,Not a visible minority,Married,6,5,5,6,4,0,0,36.8
8,No,Not a visible minority,"Single, never married",6,4,5,1,1,3,1,23.8
10,Yes,Not a visible minority,"Single, never married",2,3,3,3,3,0,1,22.8
9,No,Not a visible minority,Married,3,5,4,6,6,0,1,44.3
6,No,Not a visible minority,Married,6,3,1,6,5,0,0,47.2
9,No,Not a visible minority,Living common-law,7,4,4,6,3,0,0,49.5
8,No,Not a visible minority,Married,2,5,5,6,3,0,1,47.3
6,No,Not a visible minority,"Single, never married",2,4,4,2,2,2,0,27.3
7,No,Visible minority,"Single, never married",2,1,4,4,3,2,1,34.5
5,No,Not a visible minority,"Single, never married",6,4,4,4,3,0,1,47.8
10,No,Not a visible minority,Married,5,5,5,4,1,4,0,34.7
10,No,Not a visible minority,Married,3,4,4,1,1,2,0,29.9
7,No,Not a visible minority,"Single, never married",2,3,3,6,1,2,1,19.9
7,No,Not a visible minority,Married,5,4,4,6,5,0,0,39.7
4,No,Not a visible minority,Separated,6,3,1,4,4,0,0,34.2
9,No,Not a visible minority,Living common-law,6,5,5,4,4,2,0,27.5
9,No,Not a visible minority,Married,3,5,5,4,3,3,1,26.2
8,No,Not a visible minority,Separated,6,3,4,5,3,0,0,34.8
10,No,Not a visible minority,Living common-law,3,5,4,4,2,0,0,38.2
7,No,Not a visible minority,"Single, never married",2,3,4,2,2,2,1,25.9
7,No,Not a visible minority,Living common-law,4,4,4,4,2,4,0,26.7
8,No,Not a visible minority,Separated,2,2,3,3,3,0,1,52.3
